,Average Flow,F1,F2,F3,F4,F5,F6,F7,F8,F9,F10,F11,F12,F13,F14,F15,Invalid Reading,%Truck
00:00:00,25,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
01:00:00,21,0,18,2,0,1,0,0,0,0,0,0,0,0,0,0,0,4.8
02:00:00,10,0,9,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
03:00:00,11,0,9,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
04:00:00,15,0,10,2,0,0,1,0,2,0,0,0,0,0,0,0,0,20.0
05:00:00,67,0,45,17,0,0,3,0,0,1,0,0,0,0,0,1,0,6.0
06:00:00,147,0,103,30,0,6,2,0,2,2,0,0,0,0,0,2,0,8.2
07:00:00,342,0,264,58,0,7,10,0,3,0,0,0,0,0,0,0,0,5.8
08:00:00,373,0,290,70,0,7,1,0,3,1,1,0,0,0,0,0,0,3.5
09:00:00,341,0,252,70,1,10,3,1,1,2,0,0,0,0,0,1,0,5.0
10:00:00,430,0,330,81,1,12,2,0,1,2,1,0,0,0,0,0,0,4.2
11:00:00,494,1,396,77,1,11,2,0,3,3,0,0,0,0,0,0,0,3.8
12:00:00,616,0,496,103,0,13,1,0,3,0,0,0,0,0,0,0,0,2.8
13:00:00,703,0,578,103,1,7,2,0,8,3,0,0,0,0,0,1,0,2.8
14:00:00,709,0,561,118,1,12,6,0,7,2,1,0,0,0,0,1,0,3.9
15:00:00,873,0,720,123,2,15,2,0,7,4,0,0,0,0,0,0,0,3.2
16:00:00,931,1,788,119,0,12,1,0,9,1,0,0,0,0,0,0,0,2.5
17:00:00,1046,1,898,134,1,8,1,0,3,0,0,0,0,0,0,0,0,1.1
18:00:00,878,0,745,124,0,6,1,0,2,0,0,0,0,0,0,0,0,1.0
19:00:00,687,0,589,86,2,10,0,0,0,0,0,0,0,0,0,0,0,1.5
20:00:00,467,0,418,45,0,3,0,0,1,0,0,0,0,0,0,0,0,0.9
21:00:00,288,0,261,25,0,2,0,0,0,0,0,0,0,0,0,0,0,0.7
22:00:00,216,0,187,24,0,5,0,0,0,0,0,0,0,0,0,0,0,2.3
23:00:00,92,0,81,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
