,Average Flow,F1,F2,F3,F4,F5,F6,F7,F8,F9,F10,F11,F12,F13,F14,F15,Invalid Reading,%Truck
00:00:00,86,0,71,13,0,2,0,0,0,0,0,0,0,0,0,0,0,2.3
01:00:00,43,0,38,4,0,1,0,0,0,0,0,0,0,0,0,0,0,2.3
02:00:00,25,0,22,2,0,0,0,0,1,0,0,0,0,0,0,0,0,4.0
03:00:00,32,0,27,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
04:00:00,35,0,31,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
05:00:00,71,0,63,3,0,4,0,0,0,1,0,0,0,0,0,0,0,7.0
06:00:00,101,1,84,13,0,1,0,0,0,2,0,0,0,0,0,0,0,3.0
07:00:00,144,0,114,27,0,3,0,0,0,0,0,0,0,0,0,0,0,2.1
08:00:00,181,0,152,26,0,3,0,0,0,0,0,0,0,0,0,0,0,1.7
09:00:00,254,0,227,25,0,1,0,0,0,1,0,0,0,0,0,0,0,0.8
10:00:00,374,0,335,35,0,3,0,0,1,0,0,0,0,0,0,0,0,1.1
11:00:00,450,0,393,48,0,7,0,0,2,0,0,0,0,0,0,0,0,2.0
12:00:00,459,0,404,49,0,5,0,0,1,0,0,0,0,0,0,0,0,1.3
13:00:00,634,0,557,72,0,5,0,0,0,0,0,0,0,0,0,0,0,0.8
14:00:00,666,0,559,97,0,9,0,0,1,0,0,0,0,0,0,0,0,1.5
15:00:00,638,3,530,101,0,3,0,0,0,1,0,0,0,0,0,0,0,0.6
16:00:00,562,1,486,69,0,5,1,0,0,0,0,0,0,0,0,0,0,1.1
17:00:00,503,0,440,59,0,4,0,0,0,0,0,0,0,0,0,0,0,0.8
18:00:00,481,0,406,70,0,5,0,0,0,0,0,0,0,0,0,0,0,1.0
19:00:00,412,0,352,56,1,2,0,0,1,0,0,0,0,0,0,0,0,0.7
20:00:00,317,0,265,50,0,2,0,0,0,0,0,0,0,0,0,0,0,0.6
21:00:00,216,0,181,32,1,2,0,0,0,0,0,0,0,0,0,0,0,0.9
22:00:00,152,1,134,15,0,2,0,0,0,0,0,0,0,0,0,0,0,1.3
23:00:00,72,1,66,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
