,Average Flow,F1,F2,F3,F4,F5,F6,F7,F8,F9,F10,F11,F12,F13,F14,F15,Invalid Reading,%Truck
00:00:00,70,0,61,7,0,2,0,0,0,0,0,0,0,0,0,0,0,2.9
01:00:00,38,0,32,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
02:00:00,21,0,18,2,0,1,0,0,0,0,0,0,0,0,0,0,0,4.8
03:00:00,29,0,26,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
04:00:00,45,0,37,6,0,1,1,0,0,0,0,0,0,0,0,0,0,4.4
05:00:00,86,0,68,13,0,4,1,0,0,0,0,0,0,0,0,0,0,5.8
06:00:00,170,1,131,24,1,7,4,0,2,0,0,0,0,0,0,0,0,7.6
07:00:00,279,0,213,55,0,6,4,0,1,0,0,0,0,0,0,0,0,3.9
08:00:00,437,0,350,66,0,10,3,0,6,0,1,0,0,0,0,1,0,4.6
09:00:00,549,0,475,63,1,2,5,0,1,1,0,0,0,0,0,1,0,1.6
10:00:00,604,1,502,86,1,6,2,0,5,0,0,0,0,0,0,1,0,2.2
11:00:00,625,1,538,79,0,4,0,0,2,1,0,0,0,0,0,0,0,1.1
12:00:00,638,1,556,71,0,7,0,0,2,0,1,0,0,0,0,0,0,1.6
13:00:00,648,0,568,72,0,6,0,0,2,0,0,0,0,0,0,0,0,1.2
14:00:00,651,1,566,74,0,8,0,0,2,0,0,0,0,0,0,0,0,1.5
15:00:00,625,1,548,67,0,5,0,0,4,0,0,0,0,0,0,0,0,1.4
16:00:00,552,1,474,72,0,4,0,0,1,0,0,0,0,0,0,0,0,0.9
17:00:00,569,0,475,87,0,5,0,0,2,0,0,0,0,0,0,0,0,1.2
18:00:00,591,0,522,65,0,3,1,0,0,0,0,0,0,0,0,0,0,0.7
19:00:00,462,0,397,63,0,1,0,0,1,0,0,0,0,0,0,0,0,0.4
20:00:00,372,0,320,44,1,4,1,0,1,1,0,0,0,0,0,0,0,1.9
21:00:00,284,0,241,37,0,5,0,0,1,0,0,0,0,0,0,0,0,2.1
22:00:00,207,0,185,21,0,1,0,0,0,0,0,0,0,0,0,0,0,0.5
23:00:00,127,0,104,21,0,2,0,0,0,0,0,0,0,0,0,0,0,1.6
