,Average Flow,F1,F2,F3,F4,F5,F6,F7,F8,F9,F10,F11,F12,F13,F14,F15,Invalid Reading,%Truck
00:00:00,47,0,39,7,0,0,1,0,0,0,0,0,0,0,0,0,0,2.1
01:00:00,23,1,19,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
02:00:00,15,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
03:00:00,29,0,26,2,0,0,0,0,0,1,0,0,0,0,0,0,0,3.4
04:00:00,89,0,68,17,0,3,0,0,0,1,0,0,0,0,0,0,0,4.5
05:00:00,207,0,156,46,1,4,0,0,0,0,0,0,0,0,0,0,0,1.9
06:00:00,450,0,352,80,2,10,1,0,3,2,0,0,0,0,0,0,0,3.6
07:00:00,680,0,481,150,0,29,3,0,16,1,0,0,0,0,0,0,0,7.2
08:00:00,836,1,629,150,1,28,1,0,18,7,0,0,0,0,0,1,0,6.5
09:00:00,498,0,397,61,2,20,1,0,8,2,0,0,0,0,0,7,0,6.2
10:00:00,524,1,416,67,0,19,0,0,6,5,0,0,0,0,0,10,0,5.7
11:00:00,622,1,493,100,3,17,0,0,4,3,0,0,0,0,0,1,0,3.9
12:00:00,677,1,551,98,2,15,3,0,3,4,0,0,0,0,0,0,0,3.7
13:00:00,643,1,517,101,3,11,0,0,4,4,0,0,0,0,0,2,0,3.0
14:00:00,569,0,462,87,0,11,2,0,7,0,0,0,0,0,0,0,0,3.5
15:00:00,602,0,498,92,0,9,1,0,2,0,0,0,0,0,0,0,0,2.0
16:00:00,635,2,541,81,1,6,0,0,3,1,0,0,0,0,0,0,0,1.6
17:00:00,664,1,584,70,0,8,0,0,0,1,0,0,0,0,0,0,0,1.4
18:00:00,578,0,506,65,0,3,0,0,1,0,0,0,0,0,0,3,0,0.7
19:00:00,492,1,424,62,0,2,0,0,1,0,0,0,0,0,0,2,0,0.6
20:00:00,394,0,338,51,0,5,0,0,0,0,0,0,0,0,0,0,0,1.3
21:00:00,324,1,283,34,0,4,0,0,2,0,0,0,0,0,0,0,0,1.9
22:00:00,215,0,187,23,0,1,0,0,1,2,0,0,0,0,0,1,0,1.9
23:00:00,104,0,88,14,1,0,0,0,0,1,0,0,0,0,0,0,0,1.0
