,Average Flow,F1,F2,F3,F4,F5,F6,F7,F8,F9,F10,F11,F12,F13,F14,F15,Invalid Reading,%Truck
00:00:00,40,0,36,2,0,0,0,0,1,1,0,0,0,0,0,0,0,5.0
01:00:00,33,0,28,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
02:00:00,23,0,18,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
03:00:00,27,0,21,5,0,0,0,0,0,1,0,0,0,0,0,0,0,3.7
04:00:00,77,0,63,12,0,1,0,0,0,0,0,0,0,0,0,1,0,1.3
05:00:00,234,0,174,45,0,9,2,0,3,1,0,0,0,0,0,0,0,6.4
06:00:00,509,0,411,81,1,10,0,0,3,3,0,0,0,0,0,0,0,3.1
07:00:00,687,0,497,144,0,28,2,0,11,2,0,0,0,0,0,3,0,6.3
08:00:00,915,1,700,153,1,28,3,0,23,6,0,0,0,0,0,0,0,6.6
09:00:00,770,1,608,119,0,23,2,0,10,6,0,0,0,0,0,1,0,5.3
10:00:00,493,2,402,71,0,7,1,0,3,4,0,0,0,0,0,3,0,3.0
11:00:00,605,0,490,93,0,11,2,0,6,3,0,0,0,0,0,0,0,3.6
12:00:00,645,2,520,96,0,17,1,0,3,2,0,0,0,0,0,4,0,3.6
13:00:00,599,1,497,77,0,17,0,0,3,4,0,0,0,0,0,0,0,4.0
14:00:00,597,1,488,93,0,10,2,0,1,1,0,0,0,0,0,1,0,2.3
15:00:00,619,0,531,72,0,13,0,0,1,2,0,0,0,0,0,0,0,2.6
16:00:00,652,0,561,79,0,7,0,0,2,2,0,0,0,0,0,1,0,1.7
17:00:00,689,1,588,92,0,6,0,0,1,1,0,0,0,0,0,0,0,1.2
18:00:00,551,0,476,62,0,9,0,0,3,0,0,0,0,0,0,1,0,2.2
19:00:00,483,0,403,73,0,4,1,0,2,0,0,0,0,0,0,0,0,1.4
20:00:00,384,0,326,50,0,5,0,0,2,0,0,0,0,0,0,1,0,1.8
21:00:00,248,0,216,31,0,1,0,0,0,0,0,0,0,0,0,0,0,0.4
22:00:00,172,0,150,20,0,2,0,0,0,0,0,0,0,0,0,0,0,1.2
23:00:00,64,0,54,9,0,0,0,0,1,0,0,0,0,0,0,0,0,1.6
