,Average Flow,F1,F2,F3,F4,F5,F6,F7,F8,F9,F10,F11,F12,F13,F14,F15,Invalid Reading,%Truck
00:00:00,31,0,30,0,0,0,0,0,0,1,0,0,0,0,0,0,0,3.2
01:00:00,15,0,9,4,0,2,0,0,0,0,0,0,0,0,0,0,0,13.3
02:00:00,20,1,15,3,0,0,0,0,0,1,0,0,0,0,0,0,0,5.0
03:00:00,11,0,7,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
04:00:00,18,0,13,4,0,0,0,0,0,1,0,0,0,0,0,0,0,5.6
05:00:00,71,0,48,16,0,2,0,0,3,2,0,0,0,0,0,0,0,9.9
06:00:00,166,0,120,36,1,3,3,0,0,2,0,0,0,0,0,1,0,4.8
07:00:00,339,0,274,45,0,11,5,0,3,0,0,0,0,0,0,1,0,5.6
08:00:00,351,0,277,59,1,4,6,0,3,0,0,0,0,0,0,1,0,3.7
09:00:00,306,0,241,50,0,8,2,0,3,2,0,0,0,0,0,0,0,4.9
10:00:00,379,0,288,71,0,10,4,0,2,4,0,0,0,0,0,0,0,5.3
11:00:00,438,0,336,75,1,14,7,0,2,3,0,0,0,0,0,0,0,5.9
12:00:00,660,0,516,115,1,19,0,0,5,4,0,0,0,0,0,0,0,4.2
13:00:00,623,2,508,85,1,19,4,0,2,2,0,0,0,0,0,0,0,4.3
14:00:00,692,0,564,100,0,14,6,0,7,1,0,0,0,0,0,0,0,4.0
15:00:00,877,2,693,152,1,17,0,0,9,3,0,0,0,0,0,0,0,3.3
16:00:00,958,0,817,125,0,11,3,0,1,1,0,0,0,0,0,0,0,1.7
17:00:00,1006,1,858,128,0,12,1,0,5,1,0,0,0,0,0,0,0,1.9
18:00:00,833,0,699,117,0,15,0,0,1,1,0,0,0,0,0,0,0,2.0
19:00:00,620,0,544,61,0,12,1,0,1,0,0,0,0,0,0,1,0,2.3
20:00:00,430,1,378,46,0,5,0,0,0,0,0,0,0,0,0,0,0,1.2
21:00:00,327,0,294,29,0,3,1,0,0,0,0,0,0,0,0,0,0,1.2
22:00:00,298,0,250,46,0,2,0,0,0,0,0,0,0,0,0,0,0,0.7
23:00:00,103,0,90,10,0,2,0,0,0,1,0,0,0,0,0,0,0,2.9
