,Average Flow,F1,F2,F3,F4,F5,F6,F7,F8,F9,F10,F11,F12,F13,F14,F15,Invalid Reading,%Truck
00:00:00,890,0,869,8,0,2,1,0,1,9,0,0,0,0,0,0,0,1.5
01:00:00,538,1,520,7,0,4,0,0,0,6,0,0,0,0,0,0,0,1.9
02:00:00,350,0,333,6,0,2,0,0,1,8,0,0,0,0,0,0,0,3.1
03:00:00,272,0,261,3,0,0,0,0,0,8,0,0,0,0,0,0,0,2.9
04:00:00,389,1,370,2,1,1,0,0,0,14,0,0,0,0,0,0,0,3.9
05:00:00,1071,3,1004,24,3,6,2,0,0,28,1,0,0,0,0,0,0,3.5
06:00:00,2564,3,2243,230,8,41,5,1,10,22,1,0,0,0,0,0,0,3.1
07:00:00,4053,1,3598,364,4,41,28,0,10,7,0,0,0,0,0,0,0,2.1
08:00:00,5685,1,5093,500,9,52,9,0,13,8,0,0,0,0,0,0,0,1.4
09:00:00,4750,0,4086,528,13,74,21,1,19,8,0,0,0,0,0,0,0,2.6
10:00:00,3762,0,3106,512,7,76,27,0,17,17,0,0,0,0,0,0,0,3.6
11:00:00,4008,1,3329,573,4,64,12,0,11,13,1,0,0,0,0,0,0,2.5
12:00:00,4218,1,3533,568,6,63,18,0,14,13,2,0,0,0,0,0,0,2.6
13:00:00,4403,0,3686,616,3,57,11,0,18,12,0,0,0,0,0,0,0,2.2
14:00:00,4624,2,3905,621,6,50,9,1,18,12,0,0,0,0,0,0,0,1.9
15:00:00,5016,0,4346,602,9,35,7,0,14,2,1,0,0,0,0,0,0,1.2
16:00:00,5156,2,4564,541,7,29,4,0,5,3,1,0,0,0,0,0,0,0.8
17:00:00,5343,0,4792,511,3,21,3,0,8,5,0,0,0,0,0,0,0,0.7
18:00:00,4589,2,4124,419,0,27,0,0,12,5,0,0,0,0,0,0,0,1.0
19:00:00,3101,2,2805,256,2,23,3,0,6,4,0,0,0,0,0,0,0,1.2
20:00:00,2792,1,2551,219,2,8,1,1,3,6,0,0,0,0,0,0,0,0.7
21:00:00,2421,0,2345,59,0,0,1,0,1,15,0,0,0,0,0,0,0,0.7
22:00:00,1961,2,1911,31,6,2,0,1,0,7,1,0,0,0,0,0,0,0.6
23:00:00,1319,0,1297,7,0,1,0,0,1,12,1,0,0,0,0,0,0,1.1
