,Average Flow,F1,F2,F3,F4,F5,F6,F7,F8,F9,F10,F11,F12,F13,F14,F15,Invalid Reading,%Truck
00:00:00,1157,1,1095,47,3,2,0,0,0,9,0,0,0,0,0,0,0,1.0
01:00:00,744,0,715,23,1,1,3,0,1,0,0,0,0,0,0,0,0,0.7
02:00:00,509,1,488,13,0,3,0,0,0,3,1,0,0,0,0,0,0,1.4
03:00:00,425,1,413,10,0,1,0,0,0,0,0,0,0,0,0,0,0,0.2
04:00:00,508,1,483,20,0,2,0,0,1,1,0,0,0,0,0,0,0,0.8
05:00:00,680,1,643,24,0,1,1,0,1,9,0,0,0,0,0,0,0,1.8
06:00:00,1167,1,1076,77,1,9,0,0,0,3,0,0,0,0,0,0,0,1.0
07:00:00,1484,0,1332,135,4,8,0,0,3,2,0,0,0,0,0,0,0,0.9
08:00:00,2210,0,1988,205,5,6,1,0,4,1,0,0,0,0,0,0,0,0.5
09:00:00,2571,1,2330,220,2,12,1,0,4,1,0,0,0,0,0,0,0,0.7
10:00:00,3148,0,2835,293,3,14,1,0,1,1,0,0,0,0,0,0,0,0.5
11:00:00,3413,0,3120,269,6,13,2,1,0,2,0,0,0,0,0,0,0,0.5
12:00:00,3585,1,3285,285,1,9,1,1,1,1,0,0,0,0,0,0,0,0.4
13:00:00,3583,0,3301,253,5,19,0,0,3,2,0,0,0,0,0,0,0,0.7
14:00:00,3641,1,3353,267,4,14,0,0,2,0,0,0,0,0,0,0,0,0.4
15:00:00,3537,0,3243,277,3,12,1,0,1,0,0,0,0,0,0,0,0,0.4
16:00:00,3626,1,3351,253,2,13,0,0,1,4,1,0,0,0,0,0,0,0.5
17:00:00,3490,1,3241,233,4,8,0,0,2,1,0,0,0,0,0,0,0,0.3
18:00:00,3183,0,2963,206,4,8,0,0,1,1,0,0,0,0,0,0,0,0.3
19:00:00,2735,1,2527,187,4,11,0,0,4,1,0,0,0,0,0,0,0,0.6
20:00:00,2354,1,2200,144,1,3,1,0,0,4,0,0,0,0,0,0,0,0.3
21:00:00,1822,6,1709,95,2,5,1,0,1,2,1,0,0,0,0,0,0,0.5
22:00:00,1451,2,1385,51,3,8,0,0,0,2,0,0,0,0,0,0,0,0.7
23:00:00,886,1,838,33,3,1,0,0,2,7,1,0,0,0,0,0,0,1.2
