,Average Flow,F1,F2,F3,F4,F5,F6,F7,F8,F9,F10,F11,F12,F13,F14,F15,Invalid Reading,%Truck
00:00:00,611,1,594,4,2,3,0,0,1,5,1,0,0,0,0,0,0,1.6
01:00:00,313,0,305,1,1,1,0,1,0,2,1,1,0,0,0,0,0,1.9
02:00:00,196,1,180,1,0,2,1,0,0,11,0,0,0,0,0,0,0,7.1
03:00:00,238,0,219,3,1,1,0,0,0,14,0,0,0,0,0,0,0,6.3
04:00:00,357,2,325,6,1,5,0,0,0,18,0,0,0,0,0,0,0,6.4
05:00:00,1066,1,1005,15,3,6,3,0,1,32,0,0,0,0,0,0,0,3.9
06:00:00,2855,4,2613,152,3,18,4,0,5,55,1,0,0,0,0,0,0,2.9
07:00:00,5296,0,4689,523,9,43,9,1,9,12,1,0,0,0,0,0,0,1.4
08:00:00,5805,0,5175,532,6,55,13,0,17,7,0,0,0,0,0,0,0,1.6
09:00:00,4475,0,3831,513,4,81,15,1,14,12,4,0,0,0,0,0,0,2.8
10:00:00,3517,1,2887,519,3,55,10,0,28,14,0,0,0,0,0,0,0,3.0
11:00:00,3541,0,2897,514,5,81,8,0,24,11,1,0,0,0,0,0,0,3.5
12:00:00,3865,0,3229,529,7,54,17,0,13,16,0,0,0,0,0,0,0,2.6
13:00:00,4252,0,3594,546,8,58,20,0,15,10,1,0,0,0,0,0,0,2.4
14:00:00,4783,0,4079,610,16,45,10,1,13,9,0,0,0,0,0,0,0,1.6
15:00:00,5190,0,4518,594,6,39,7,0,20,5,1,0,0,0,0,0,0,1.4
16:00:00,5190,0,4584,543,11,30,6,0,9,6,1,0,0,0,0,0,0,1.0
17:00:00,5187,0,4671,464,2,31,3,0,12,4,0,0,0,0,0,0,0,1.0
18:00:00,4795,0,4349,396,9,19,2,0,10,9,0,1,0,0,0,0,0,0.9
19:00:00,3656,4,3528,99,3,4,2,0,0,15,1,0,0,0,0,0,0,0.6
20:00:00,2906,1,2837,47,4,6,1,0,0,9,1,0,0,0,0,0,0,0.6
21:00:00,2292,0,2239,33,1,5,0,0,1,13,0,0,0,0,0,0,0,0.8
22:00:00,1833,1,1799,19,0,1,1,0,0,12,0,0,0,0,0,0,0,0.8
23:00:00,1113,2,1086,15,0,1,0,0,0,7,2,0,0,0,0,0,0,0.9
