,Average Flow,F1,F2,F3,F4,F5,F6,F7,F8,F9,F10,F11,F12,F13,F14,F15,Invalid Reading,%Truck
00:00:00,1442,4,1360,57,4,4,1,0,0,12,0,0,0,0,0,0,0,1.2
01:00:00,836,0,785,35,1,5,0,0,2,8,0,0,0,0,0,0,0,1.8
02:00:00,467,0,440,19,1,2,0,0,1,4,0,0,0,0,0,0,0,1.5
03:00:00,357,0,328,19,0,1,1,0,0,8,0,0,0,0,0,0,0,2.8
04:00:00,439,2,400,24,0,5,1,0,0,7,0,0,0,0,0,0,0,3.0
05:00:00,721,1,658,46,0,7,1,0,1,6,1,0,0,0,0,0,0,2.2
06:00:00,1295,2,1126,139,1,12,2,0,4,6,3,0,0,0,0,0,0,2.1
07:00:00,1826,0,1523,257,2,29,1,0,9,3,2,0,0,0,0,0,0,2.4
08:00:00,2532,2,2158,297,3,41,3,0,26,2,0,0,0,0,0,0,0,2.8
09:00:00,3236,1,2854,327,4,34,2,1,10,3,0,0,0,0,0,0,0,1.5
10:00:00,4104,0,3655,392,8,30,7,0,7,5,0,0,0,0,0,0,0,1.2
11:00:00,4303,0,3874,385,6,31,0,1,2,4,0,0,0,0,0,0,0,0.9
12:00:00,3725,1,3386,300,1,25,1,0,9,1,1,0,0,0,0,0,0,1.0
13:00:00,4482,2,4044,392,2,29,0,0,6,7,0,0,0,0,0,0,0,0.9
14:00:00,4017,0,3651,317,5,27,4,0,10,3,0,0,0,0,0,0,0,1.1
15:00:00,4697,3,4254,397,4,29,1,0,6,2,1,0,0,0,0,0,0,0.8
16:00:00,4052,0,3706,304,9,23,2,0,6,2,0,0,0,0,0,0,0,0.8
17:00:00,4154,1,3794,310,10,15,2,0,9,12,1,0,0,0,0,0,0,0.9
18:00:00,4240,0,3909,285,3,22,2,0,15,4,0,0,0,0,0,0,0,1.0
19:00:00,3554,0,3266,257,6,20,0,0,2,3,0,0,0,0,0,0,0,0.7
20:00:00,2968,0,2746,204,0,11,1,0,5,1,0,0,0,0,0,0,0,0.6
21:00:00,2536,1,2400,116,4,9,2,0,1,3,0,0,0,0,0,0,0,0.6
22:00:00,2221,1,2104,105,0,4,1,0,1,5,0,0,0,0,0,0,0,0.5
23:00:00,2137,0,2064,60,5,2,2,0,0,3,1,0,0,0,0,0,0,0.4
