,Average Flow,F1,F2,F3,F4,F5,F6,F7,F8,F9,F10,F11,F12,F13,F14,F15,Invalid Reading,%Truck
00:00:00,666,1,652,6,0,1,0,0,0,6,0,0,0,0,0,0,0,1.1
01:00:00,453,1,438,7,2,0,0,0,0,5,0,0,0,0,0,0,0,1.1
02:00:00,313,0,300,2,0,2,1,0,0,8,0,0,0,0,0,0,0,3.5
03:00:00,205,0,194,2,0,2,0,0,1,6,0,0,0,0,0,0,0,4.4
04:00:00,350,1,320,4,1,4,2,0,0,18,0,0,0,0,0,0,0,6.9
05:00:00,969,4,908,26,3,6,1,0,1,20,0,0,0,0,0,0,0,2.9
06:00:00,2434,6,2230,123,4,25,5,0,5,35,1,0,0,0,0,0,0,2.9
07:00:00,3976,0,3459,422,10,38,14,1,17,14,1,0,0,0,0,0,0,2.1
08:00:00,4144,0,3578,466,6,45,21,2,17,8,1,0,0,0,0,0,0,2.3
09:00:00,3305,3,2737,425,10,67,20,5,26,9,3,0,0,0,0,0,0,3.9
10:00:00,3365,4,2763,451,10,54,20,6,39,16,2,0,0,0,0,0,0,4.1
11:00:00,3466,3,2866,472,14,57,13,0,25,13,3,0,0,0,0,0,0,3.2
12:00:00,3785,2,3181,508,3,47,12,0,15,14,2,1,0,0,0,0,0,2.4
13:00:00,4365,2,3728,516,9,60,24,0,14,9,3,0,0,0,0,0,0,2.5
14:00:00,4401,2,3741,549,10,55,20,1,16,7,0,0,0,0,0,0,0,2.2
15:00:00,4523,1,3870,559,8,44,13,0,18,9,1,0,0,0,0,0,0,1.9
16:00:00,4524,2,3956,487,8,39,9,2,13,8,0,0,0,0,0,0,0,1.6
17:00:00,4737,0,4158,492,3,45,5,4,19,7,4,0,0,0,0,0,0,1.8
18:00:00,4248,0,3842,365,1,23,0,0,11,5,1,0,0,0,0,0,0,0.9
19:00:00,3189,4,3078,83,1,3,1,0,0,18,1,0,0,0,0,0,0,0.7
20:00:00,2694,2,2642,31,1,2,0,1,1,13,1,0,0,0,0,0,0,0.7
21:00:00,2134,0,2083,34,3,3,1,0,1,9,0,0,0,0,0,0,0,0.7
22:00:00,1589,0,1557,12,2,3,1,0,0,13,1,0,0,0,0,0,0,1.1
23:00:00,1010,1,991,7,0,1,0,0,0,9,1,0,0,0,0,0,0,1.1
