,Average Flow,F1,F2,F3,F4,F5,F6,F7,F8,F9,F10,F11,F12,F13,F14,F15,Invalid Reading,%Truck
00:00:00,1255,2,1236,9,0,2,0,0,0,6,0,0,0,0,0,0,0,0.6
01:00:00,911,2,888,13,0,0,0,0,0,7,1,0,0,0,0,0,0,0.9
02:00:00,785,1,761,6,0,0,1,0,2,14,0,0,0,0,0,0,0,2.2
03:00:00,608,3,592,4,1,1,0,0,0,5,2,0,0,0,0,0,0,1.3
04:00:00,391,1,370,3,2,0,0,1,0,13,0,1,0,0,0,0,0,3.8
05:00:00,543,1,516,4,3,5,2,0,0,12,0,0,0,0,0,0,0,3.5
06:00:00,1138,1,1078,38,3,2,2,0,0,14,0,0,0,0,0,0,0,1.6
07:00:00,1602,0,1358,201,3,22,4,0,10,4,0,0,0,0,0,0,0,2.5
08:00:00,2105,0,1825,239,2,24,1,0,5,8,1,0,0,0,0,0,0,1.9
09:00:00,2467,0,2205,221,4,18,8,0,6,3,2,0,0,0,0,0,0,1.5
10:00:00,2746,2,2476,228,3,23,2,1,7,3,1,0,0,0,0,0,0,1.3
11:00:00,2904,2,2612,251,5,20,4,0,7,2,1,0,0,0,0,0,0,1.2
12:00:00,3265,1,2927,279,4,25,15,0,11,3,0,0,0,0,0,0,0,1.7
13:00:00,3561,1,3229,292,7,13,5,1,10,3,0,0,0,0,0,0,0,0.9
14:00:00,3437,1,3160,235,10,20,4,0,2,5,0,0,0,0,0,0,0,0.9
15:00:00,3832,1,3522,281,2,18,2,1,2,3,0,0,0,0,0,0,0,0.7
16:00:00,3746,4,3428,276,1,13,12,0,9,2,1,0,0,0,0,0,0,1.0
17:00:00,3690,3,3386,265,2,16,3,2,6,5,2,0,0,0,0,0,0,0.9
18:00:00,3563,1,3312,227,3,9,2,1,6,2,0,0,0,0,0,0,0,0.6
19:00:00,3249,3,3172,51,7,5,1,0,1,8,1,0,0,0,0,0,0,0.5
20:00:00,2820,1,2744,45,3,6,2,1,1,17,0,0,0,0,0,0,0,1.0
21:00:00,2423,1,2383,30,0,3,0,0,1,4,1,0,0,0,0,0,0,0.4
22:00:00,2391,0,2349,29,1,3,0,0,0,9,0,0,0,0,0,0,0,0.5
23:00:00,2177,0,2146,27,1,0,1,0,0,2,0,0,0,0,0,0,0,0.1
