,Average Flow,F1,F2,F3,F4,F5,F6,F7,F8,F9,F10,F11,F12,F13,F14,F15,Invalid Reading,%Truck
00:00:00,868,1,841,14,1,2,0,0,0,9,0,0,0,0,0,0,0,1.3
01:00:00,619,1,601,3,0,2,1,0,0,11,0,0,0,0,0,0,0,2.3
02:00:00,453,0,434,6,1,1,0,0,0,11,0,0,0,0,0,0,0,2.6
03:00:00,392,0,374,3,0,1,0,0,0,14,0,0,0,0,0,0,0,3.8
04:00:00,442,0,409,7,3,1,0,0,0,22,0,0,0,0,0,0,0,5.2
05:00:00,1006,1,933,19,4,9,2,0,1,36,1,0,0,0,0,0,0,4.9
06:00:00,2478,3,2121,271,5,36,7,0,7,25,3,0,0,0,0,0,0,3.1
07:00:00,4151,0,3579,465,11,52,10,0,18,16,0,0,0,0,0,0,0,2.3
08:00:00,4113,0,3560,447,3,66,12,0,10,13,2,0,0,0,0,0,0,2.5
09:00:00,3525,0,2940,460,4,78,14,0,18,10,1,0,0,0,0,0,0,3.4
10:00:00,3340,1,2725,520,5,56,12,0,12,9,0,0,0,0,0,0,0,2.7
11:00:00,3702,0,3079,511,5,64,13,1,15,14,0,0,0,0,0,0,0,2.9
12:00:00,4036,1,3426,516,5,50,14,0,17,6,1,0,0,0,0,0,0,2.2
13:00:00,4298,0,3655,527,3,74,10,3,19,7,0,0,0,0,0,0,0,2.6
14:00:00,4514,1,3829,612,2,46,7,0,14,3,0,0,0,0,0,0,0,1.6
15:00:00,4857,2,4241,555,3,33,4,0,16,2,1,0,0,0,0,0,0,1.2
16:00:00,5001,2,4408,520,7,39,6,0,16,3,0,0,0,0,0,0,0,1.3
17:00:00,4762,0,4247,461,5,34,3,1,8,3,0,0,0,0,0,0,0,1.0
18:00:00,4263,1,3829,381,3,31,1,0,10,7,0,0,0,0,0,0,0,1.1
19:00:00,3198,0,2885,273,3,19,2,1,13,2,0,0,0,0,0,0,0,1.2
20:00:00,2881,0,2629,220,2,15,2,0,8,5,0,0,0,0,0,0,0,1.0
21:00:00,2703,3,2591,69,6,10,3,0,0,20,1,0,0,0,0,0,0,1.3
22:00:00,2770,4,2700,46,5,1,1,0,1,10,2,0,0,0,0,0,0,0.5
23:00:00,2606,4,2554,33,0,3,0,0,0,12,0,0,0,0,0,0,0,0.6
