,Average Flow,F1,F2,F3,F4,F5,F6,F7,F8,F9,F10,F11,F12,F13,F14,F15,Invalid Reading,%Truck
00:00:00,987,1,974,6,0,2,1,0,0,2,0,1,0,0,0,0,0,0.6
01:00:00,646,1,633,4,0,0,0,0,1,7,0,0,0,0,0,0,0,1.2
02:00:00,472,0,458,8,0,0,1,0,0,5,0,0,0,0,0,0,0,1.3
03:00:00,365,0,349,3,1,2,0,0,0,10,0,0,0,0,0,0,0,3.3
04:00:00,465,0,442,3,3,2,0,0,0,15,0,0,0,0,0,0,0,3.7
05:00:00,1062,2,1003,25,4,3,1,0,0,21,2,0,1,0,0,0,0,2.6
06:00:00,2545,3,2220,250,7,28,11,0,6,20,0,0,0,0,0,0,0,2.6
07:00:00,4512,0,3962,454,5,56,13,1,10,8,3,0,0,0,0,0,0,2.0
08:00:00,4926,3,4325,512,6,41,20,0,9,9,1,0,0,0,0,0,0,1.6
09:00:00,3598,0,3035,441,5,63,17,1,24,10,2,0,0,0,0,0,0,3.3
10:00:00,3158,0,2614,421,6,61,16,0,23,15,2,0,0,0,0,0,0,3.7
11:00:00,3333,0,2738,466,3,71,32,0,17,6,0,0,0,0,0,0,0,3.8
12:00:00,3707,2,3113,501,4,50,16,2,11,7,1,0,0,0,0,0,0,2.3
13:00:00,3853,0,3241,514,4,46,23,0,17,6,2,0,0,0,0,0,0,2.4
14:00:00,4073,1,3355,615,8,47,24,1,16,6,0,0,0,0,0,0,0,2.3
15:00:00,4549,1,3935,536,6,46,9,0,13,3,0,0,0,0,0,0,0,1.6
16:00:00,5043,0,4450,522,9,40,2,1,11,7,1,0,0,0,0,0,0,1.2
17:00:00,5252,1,4693,498,9,37,3,0,8,3,0,0,0,0,0,0,0,1.0
18:00:00,4405,2,3972,366,11,23,4,6,12,9,0,0,0,0,0,0,0,1.2
19:00:00,3157,1,2799,303,4,15,5,2,17,10,1,0,0,0,0,0,0,1.6
20:00:00,2543,0,2275,235,1,16,2,1,6,6,1,0,0,0,0,0,0,1.3
21:00:00,1978,3,1899,60,1,3,0,0,0,11,1,0,0,0,0,0,0,0.8
22:00:00,1707,0,1674,17,1,4,0,0,1,9,1,0,0,0,0,0,0,0.9
23:00:00,1179,1,1151,14,0,1,1,0,0,10,1,0,0,0,0,0,0,1.1
