,Average Flow,F1,F2,F3,F4,F5,F6,F7,F8,F9,F10,F11,F12,F13,F14,F15,Invalid Reading,%Truck
00:00:00,4549,8,3756,673,3,45,8,0,14,33,0,2,4,0,0,3,0,2.3
01:00:00,2615,2,2175,324,0,40,15,0,20,31,0,0,6,0,0,2,0,4.3
02:00:00,2036,8,1668,281,0,20,6,0,14,36,0,0,2,0,0,1,0,3.8
03:00:00,1871,2,1575,219,1,27,4,0,12,29,0,0,2,0,0,0,0,4.0
04:00:00,1200,3,967,155,3,23,8,0,18,21,0,0,1,0,0,1,0,5.9
05:00:00,1341,3,1060,193,2,30,10,0,15,25,0,0,2,0,0,1,0,6.1
06:00:00,2018,8,1557,316,2,67,11,0,24,31,0,0,0,0,0,2,0,6.6
07:00:00,3000,5,2285,520,0,88,21,1,37,36,0,1,0,0,0,6,0,6.1
08:00:00,3939,2,3034,696,4,88,25,0,44,38,1,1,0,0,0,6,0,5.0
09:00:00,4887,8,3804,862,2,100,15,2,51,37,0,0,0,0,0,6,0,4.2
10:00:00,5563,6,4424,901,1,117,28,0,52,28,0,0,0,0,0,6,0,4.0
11:00:00,6078,4,4799,1063,3,113,23,0,49,24,0,0,0,0,0,0,0,3.4
12:00:00,6529,8,5238,1069,2,107,11,1,66,22,0,0,0,0,0,5,0,3.2
13:00:00,6599,8,5266,1114,1,133,5,0,40,25,1,0,0,0,0,6,0,3.1
14:00:00,6802,6,5378,1191,4,124,10,0,65,13,0,0,0,0,0,11,0,3.1
15:00:00,7814,12,6287,1309,2,114,10,1,59,15,0,0,0,0,0,5,0,2.5
16:00:00,7541,14,6029,1300,1,97,3,0,73,19,1,0,0,0,0,4,0,2.6
17:00:00,6942,9,5616,1160,5,81,4,0,41,17,0,0,0,0,0,9,0,2.1
18:00:00,7427,13,6034,1189,0,108,7,1,56,15,0,0,0,0,0,4,0,2.5
19:00:00,6948,18,5670,1083,1,93,3,0,52,22,0,0,1,0,0,5,0,2.5
20:00:00,6210,12,5138,923,1,61,5,1,43,22,1,0,0,0,0,3,0,2.1
21:00:00,5794,26,4787,840,7,55,5,0,37,35,0,0,0,0,0,2,0,2.3
22:00:00,5544,8,4732,676,16,31,15,1,26,34,1,0,0,0,0,4,0,1.9
23:00:00,5521,10,4708,642,31,54,7,0,25,37,1,0,0,0,0,6,0,2.2
