,Average Flow,F1,F2,F3,F4,F5,F6,F7,F8,F9,F10,F11,F12,F13,F14,F15,Invalid Reading,%Truck
00:00:00,1226,0,970,165,0,30,0,0,11,48,0,0,1,0,0,1,0,7.3
01:00:00,741,3,549,105,0,21,3,0,14,37,0,3,1,0,0,5,0,10.7
02:00:00,672,1,481,94,0,25,5,1,12,46,0,1,3,0,0,3,0,13.8
03:00:00,843,0,586,146,3,32,9,0,10,53,0,1,1,0,0,2,0,12.6
04:00:00,1746,1,1229,384,1,45,14,1,19,44,0,1,3,0,0,4,0,7.3
05:00:00,4441,3,3181,987,5,164,23,0,26,42,1,0,1,0,0,8,0,5.8
06:00:00,7775,11,5392,1857,12,324,31,0,78,42,1,0,1,0,0,26,0,6.1
07:00:00,9224,12,6646,1995,12,313,39,4,126,38,2,0,0,1,0,36,0,5.7
08:00:00,9301,15,6928,1825,11,283,29,1,101,51,5,1,0,0,0,51,0,5.1
09:00:00,8616,14,6317,1745,6,277,31,1,111,90,0,0,0,0,0,24,0,5.9
10:00:00,7379,9,5334,1522,5,280,31,2,104,70,4,0,0,0,0,18,0,6.7
11:00:00,6866,9,4998,1355,4,285,36,0,94,66,1,0,0,1,0,17,0,7.0
12:00:00,6732,5,5102,1198,0,235,23,0,78,75,1,0,0,0,0,15,0,6.1
13:00:00,6342,6,4847,1127,2,194,26,1,77,45,1,0,1,0,0,15,0,5.4
14:00:00,6434,9,4968,1086,14,189,26,1,83,51,0,0,0,0,0,7,0,5.4
15:00:00,6489,8,5162,1019,20,162,26,1,46,34,1,0,0,0,0,10,0,4.2
16:00:00,6998,13,5701,997,16,135,15,0,53,56,0,0,0,0,0,12,0,3.7
17:00:00,6261,9,5223,801,16,112,7,0,46,36,0,0,0,0,0,11,0,3.2
18:00:00,5388,10,4541,671,2,85,4,0,27,40,0,0,0,0,0,8,0,2.9
19:00:00,4241,3,3435,643,2,89,10,0,28,28,0,0,0,0,0,3,0,3.7
20:00:00,3747,6,3048,534,3,66,5,0,46,32,0,2,1,0,0,4,0,4.1
21:00:00,3340,3,2751,439,2,49,8,0,28,49,0,7,1,0,0,3,0,4.3
22:00:00,2430,1,2034,292,3,31,7,0,12,43,0,2,1,0,0,4,0,4.0
23:00:00,1895,1,1572,233,1,29,7,0,14,35,0,1,0,0,0,2,0,4.5
