,Average Flow,F1,F2,F3,F4,F5,F6,F7,F8,F9,F10,F11,F12,F13,F14,F15,Invalid Reading,%Truck
00:00:00,3338,1,2846,450,1,16,2,0,14,7,0,0,0,0,0,1,0,1.2
01:00:00,2396,4,2004,349,0,18,1,0,6,13,0,0,0,0,0,1,0,1.6
02:00:00,1953,3,1641,275,0,17,0,0,4,12,0,0,1,0,0,0,0,1.7
03:00:00,1947,0,1636,269,1,19,2,0,9,9,0,0,0,0,0,2,0,2.0
04:00:00,1096,0,897,174,2,10,0,0,5,8,0,0,0,0,0,0,0,2.1
05:00:00,1119,2,905,175,2,20,2,0,2,11,0,0,0,0,0,0,0,3.1
06:00:00,1455,1,1157,254,0,17,2,0,7,17,0,0,0,0,0,0,0,3.0
07:00:00,1961,1,1599,300,1,30,2,0,11,15,0,0,0,0,0,2,0,3.0
08:00:00,2712,4,2203,435,3,37,4,0,12,10,0,0,0,0,0,4,0,2.3
09:00:00,3724,10,3027,593,2,43,5,0,23,19,1,0,0,0,0,1,0,2.4
10:00:00,5063,5,4164,805,2,41,3,0,25,16,0,0,0,1,0,1,0,1.7
11:00:00,5876,1,4786,959,0,78,3,1,26,22,0,0,0,0,0,0,0,2.2
12:00:00,6666,8,5459,1075,1,75,3,0,32,10,0,0,0,0,0,3,0,1.8
13:00:00,6901,5,5671,1099,2,67,4,0,26,21,1,0,0,0,0,5,0,1.7
14:00:00,7252,4,5943,1170,4,68,7,0,34,20,0,0,0,0,0,2,0,1.8
15:00:00,8995,10,7315,1493,3,94,3,0,44,30,0,0,0,0,0,3,0,1.9
16:00:00,7952,11,6539,1259,5,76,1,0,27,30,0,0,0,0,0,4,0,1.7
17:00:00,7059,4,5782,1171,3,60,2,0,16,17,0,0,0,0,0,4,0,1.3
18:00:00,7214,6,6038,1071,2,53,1,1,26,14,0,0,1,0,0,1,0,1.3
19:00:00,6022,5,4994,941,2,42,2,0,19,14,0,0,0,0,0,3,0,1.3
20:00:00,5256,4,4376,792,5,38,1,1,16,22,0,0,0,0,0,1,0,1.5
21:00:00,4627,4,3841,664,1,50,4,0,25,36,0,1,0,0,0,1,0,2.5
22:00:00,4410,2,3787,558,2,27,4,0,6,22,0,0,0,0,0,2,0,1.3
23:00:00,3190,2,2682,434,1,23,4,0,12,30,0,2,0,0,0,0,0,2.2
