,Average Flow,F1,F2,F3,F4,F5,F6,F7,F8,F9,F10,F11,F12,F13,F14,F15,Invalid Reading,%Truck
00:00:00,1050,1,829,132,1,18,6,0,18,39,0,2,1,0,0,3,0,8.0
01:00:00,684,0,531,71,0,27,8,0,15,28,0,2,1,0,0,1,0,11.8
02:00:00,540,0,390,60,1,15,10,1,14,43,1,3,1,0,0,1,0,16.3
03:00:00,725,1,525,97,0,26,13,0,11,47,0,3,0,0,0,2,0,13.8
04:00:00,1565,2,1139,288,0,48,11,2,14,55,0,1,3,0,0,2,0,8.6
05:00:00,4205,3,3024,913,5,131,28,1,45,43,0,0,2,0,0,10,0,5.9
06:00:00,7930,9,5550,1873,7,282,37,0,73,59,5,0,0,0,0,35,0,5.8
07:00:00,9313,14,6904,1896,12,255,44,4,93,44,6,0,0,3,0,38,0,4.8
08:00:00,8749,23,6552,1657,19,240,46,0,97,52,5,0,0,1,0,57,0,5.0
09:00:00,8588,16,6310,1712,16,281,47,0,109,51,7,1,0,0,0,38,0,5.8
10:00:00,7353,4,5350,1481,6,270,52,1,83,73,14,0,0,0,0,19,0,6.7
11:00:00,5619,5,4250,1020,5,170,43,2,49,54,9,0,1,0,0,11,0,5.8
12:00:00,5961,2,4492,1086,3,181,40,0,67,60,11,0,1,0,0,18,0,6.0
13:00:00,6379,9,4774,1215,2,195,43,0,72,51,8,0,0,0,0,10,0,5.8
14:00:00,6556,9,5033,1145,15,174,48,0,72,44,3,1,0,0,0,12,0,5.2
15:00:00,6783,10,5300,1102,20,186,25,0,63,55,1,1,0,0,0,20,0,4.9
16:00:00,6588,10,5251,1003,13,160,14,0,64,55,0,1,0,0,0,17,0,4.5
17:00:00,6020,12,4871,909,10,112,13,0,35,43,0,0,0,0,0,15,0,3.4
18:00:00,5817,15,4744,836,5,122,6,0,41,36,0,2,0,0,0,10,0,3.6
19:00:00,4862,9,4047,645,1,76,5,0,34,36,0,0,2,0,0,7,0,3.1
20:00:00,4498,6,3730,564,5,87,15,0,39,44,0,3,0,0,0,5,0,4.2
21:00:00,3657,4,3056,428,0,60,8,0,31,62,0,0,2,0,0,6,0,4.5
22:00:00,2869,3,2398,333,1,50,5,0,22,51,0,2,2,0,0,2,0,4.6
23:00:00,1797,0,1483,198,2,39,2,0,21,48,1,1,0,0,0,2,0,6.2
