,Average Flow,F1,F2,F3,F4,F5,F6,F7,F8,F9,F10,F11,F12,F13,F14,F15,Invalid Reading,%Truck
00:00:00,2236,2,1876,311,2,17,4,0,6,15,0,1,0,0,0,2,0,1.9
01:00:00,1636,6,1344,228,0,19,3,0,3,30,0,0,0,1,0,2,0,3.4
02:00:00,1149,1,920,158,0,30,7,0,7,24,0,1,0,0,0,1,0,6.0
03:00:00,952,1,736,122,0,29,5,0,17,40,0,1,0,0,0,1,0,9.7
04:00:00,1229,3,883,237,1,36,10,0,21,34,1,0,1,0,0,2,0,8.4
05:00:00,2381,2,1664,508,1,104,11,0,32,59,0,0,0,0,0,0,0,8.7
06:00:00,4526,2,3204,953,11,184,30,0,53,79,1,0,0,0,0,9,0,7.7
07:00:00,6111,4,4738,1034,14,169,30,0,60,58,1,0,0,0,0,3,0,5.2
08:00:00,5916,3,4511,1006,13,215,27,0,64,67,0,0,0,0,0,10,0,6.3
09:00:00,5214,3,3768,1035,15,213,27,2,64,71,0,2,1,0,0,13,0,7.3
10:00:00,5654,2,4018,1209,5,252,28,0,63,53,1,1,1,0,0,21,0,7.1
11:00:00,6156,5,4261,1387,4,283,41,0,76,78,0,0,0,0,0,21,0,7.8
12:00:00,6533,5,4671,1417,0,256,28,1,68,67,0,0,0,0,0,20,0,6.4
13:00:00,7193,4,5159,1603,1,239,19,0,86,61,1,1,0,1,0,18,0,5.7
14:00:00,8532,8,6252,1829,1,269,29,1,70,52,0,0,0,0,0,21,0,4.9
15:00:00,9814,8,7310,2017,9,280,28,1,92,51,0,0,0,0,0,18,0,4.6
16:00:00,10015,10,7783,1834,15,232,16,0,80,33,0,0,0,0,0,12,0,3.6
17:00:00,9465,8,7418,1725,19,178,12,0,74,24,0,0,0,0,0,7,0,3.0
18:00:00,8158,7,6346,1523,8,150,11,1,74,32,1,0,0,0,0,5,0,3.3
19:00:00,6685,2,5254,1194,10,122,5,0,53,36,0,0,0,0,0,9,0,3.2
20:00:00,5386,14,4334,833,2,83,14,0,51,53,0,0,1,0,0,1,0,3.8
21:00:00,4598,5,3744,674,0,75,9,0,36,45,0,5,0,0,0,5,0,3.7
22:00:00,3851,2,3194,516,2,40,11,0,31,49,0,4,0,0,0,2,0,3.5
23:00:00,2985,4,2451,393,2,42,24,0,19,42,0,2,3,0,0,3,0,4.4
