,Average Flow,F1,F2,F3,F4,F5,F6,F7,F8,F9,F10,F11,F12,F13,F14,F15,Invalid Reading,%Truck
00:00:00,1737,6,1411,218,0,28,6,0,23,38,0,1,3,0,0,3,0,5.7
01:00:00,990,8,781,133,1,18,3,0,13,28,0,2,0,1,0,2,0,6.6
02:00:00,867,3,654,108,2,28,5,0,9,51,1,1,3,0,0,2,0,11.3
03:00:00,1070,3,777,181,0,33,9,0,15,48,0,1,0,0,0,3,0,9.9
04:00:00,1905,2,1350,391,0,66,10,0,17,58,0,1,5,0,0,5,0,8.2
05:00:00,4369,5,3043,1045,4,149,23,1,38,50,0,0,2,0,0,9,0,6.0
06:00:00,7499,12,5146,1800,15,308,37,1,90,58,6,0,1,0,0,25,0,6.7
07:00:00,8314,13,5819,1907,14,291,37,2,150,48,7,1,0,0,0,25,0,6.4
08:00:00,8615,14,6171,1855,9,314,32,0,125,56,9,0,0,0,0,30,0,6.2
09:00:00,7530,11,5520,1494,5,269,42,1,108,53,5,0,1,0,0,21,0,6.4
10:00:00,6417,11,4685,1292,1,226,36,0,81,64,6,0,0,0,0,15,0,6.4
11:00:00,6714,12,5109,1170,3,217,34,2,84,57,8,0,0,0,0,18,0,6.0
12:00:00,6848,8,5322,1164,0,181,29,1,76,43,7,1,0,1,0,15,0,5.0
13:00:00,7024,17,5428,1213,3,186,28,1,70,53,3,0,0,0,0,22,0,4.9
14:00:00,6676,9,5231,1069,13,193,22,1,68,53,2,1,1,0,0,13,0,5.1
15:00:00,6577,14,5196,1034,16,183,14,0,57,53,0,0,0,0,0,10,0,4.7
16:00:00,6342,10,5207,912,14,112,9,0,39,31,0,0,0,0,0,8,0,3.0
17:00:00,6526,13,5488,817,14,117,9,0,35,28,0,0,0,0,0,5,0,2.9
18:00:00,6283,15,5322,791,4,69,4,0,35,25,1,0,0,0,0,17,0,2.1
19:00:00,5996,6,5005,855,1,78,6,0,23,21,0,0,0,0,0,1,0,2.1
20:00:00,5317,11,4464,703,3,59,3,0,36,33,1,0,0,0,0,4,0,2.5
21:00:00,4892,7,4154,578,1,60,15,0,36,35,1,1,0,0,0,4,0,3.0
22:00:00,4747,7,3962,622,1,60,6,0,31,49,0,4,1,0,0,4,0,3.2
23:00:00,3165,10,2587,440,0,46,4,0,25,46,0,0,2,0,0,5,0,3.9
