,Average Flow,F1,F2,F3,F4,F5,F6,F7,F8,F9,F10,F11,F12,F13,F14,F15,Invalid Reading,%Truck
00:00:00,2364,0,1956,352,1,24,4,0,3,22,0,1,0,0,0,1,0,2.3
01:00:00,1430,0,1150,213,4,12,3,0,10,34,0,1,0,0,0,3,0,4.2
02:00:00,978,3,758,151,0,15,5,0,7,37,0,1,0,0,0,1,0,6.6
03:00:00,807,2,619,112,1,24,7,0,11,29,0,1,0,0,0,1,0,8.9
04:00:00,1021,0,733,184,0,33,7,0,18,43,0,0,1,0,0,2,0,10.0
05:00:00,2215,4,1495,510,1,107,11,0,34,48,0,2,0,0,0,3,0,9.1
06:00:00,4121,3,2852,937,10,176,23,0,44,60,3,2,0,0,0,11,0,7.5
07:00:00,5726,4,4208,1120,17,195,38,1,71,63,3,0,0,0,0,6,0,6.5
08:00:00,5759,2,4143,1158,20,228,34,1,73,82,1,0,1,0,0,16,0,7.3
09:00:00,5566,0,3937,1190,11,218,46,1,69,74,1,2,0,0,0,17,0,7.4
10:00:00,5836,3,4059,1319,2,231,42,0,79,81,1,1,0,0,0,18,0,7.5
11:00:00,6356,6,4473,1425,0,256,34,1,78,74,1,0,0,0,0,8,0,7.0
12:00:00,7277,4,5259,1564,1,256,35,2,72,75,0,0,0,0,0,9,0,6.0
13:00:00,6933,5,4946,1518,2,245,48,0,89,74,0,0,0,0,0,6,0,6.6
14:00:00,8317,6,6097,1757,1,248,32,1,104,53,1,1,0,0,0,16,0,5.3
15:00:00,9874,6,7334,2080,9,272,35,3,81,49,0,0,0,0,0,5,0,4.5
16:00:00,9625,9,7373,1824,14,228,30,0,102,32,0,1,0,0,0,12,0,4.1
17:00:00,9539,6,7282,1921,15,194,16,1,68,31,0,0,0,0,0,5,0,3.2
18:00:00,7997,5,6021,1687,7,166,10,0,73,23,0,0,0,0,0,5,0,3.4
19:00:00,6753,3,5241,1271,8,136,6,0,43,41,0,0,2,0,0,2,0,3.4
20:00:00,5319,4,4293,874,1,82,7,0,28,28,1,0,0,0,0,1,0,2.7
21:00:00,4487,3,3657,701,5,39,9,0,24,44,0,2,2,0,0,1,0,2.7
22:00:00,3648,3,2985,519,9,41,8,0,15,62,0,5,1,0,0,0,0,3.6
23:00:00,2497,5,2045,357,0,32,5,0,12,37,0,1,1,0,0,2,0,3.5
