,Average Flow,F1,F2,F3,F4,F5,F6,F7,F8,F9,F10,F11,F12,F13,F14,F15,Invalid Reading,%Truck
00:00:00,1931,8,1548,265,1,32,8,0,12,44,1,7,2,0,0,3,0,5.5
01:00:00,1349,5,1040,198,1,31,7,0,14,44,0,2,2,0,0,5,0,7.4
02:00:00,1102,10,852,133,0,23,13,0,18,48,0,3,1,0,0,1,0,9.6
03:00:00,1075,1,818,148,0,28,8,0,10,56,1,2,0,0,0,3,0,9.8
04:00:00,1175,0,866,177,1,47,10,0,18,52,2,0,2,0,0,0,0,11.1
05:00:00,2451,5,1730,497,2,92,24,0,27,67,1,0,0,0,0,6,0,8.6
06:00:00,4380,3,3101,905,11,189,34,1,61,69,0,0,0,0,0,6,0,8.1
07:00:00,6001,4,4632,1031,15,168,24,0,65,50,0,0,0,0,0,12,0,5.1
08:00:00,5787,6,4470,974,20,159,32,2,58,54,1,0,0,0,0,11,0,5.3
09:00:00,6148,5,4492,1216,16,208,30,0,76,92,0,0,1,0,0,12,0,6.6
10:00:00,6047,3,4256,1315,5,239,43,2,84,83,1,0,0,2,0,14,0,7.5
11:00:00,6408,5,4493,1427,9,246,43,1,86,84,0,0,0,0,0,14,0,7.2
12:00:00,6574,10,4663,1424,6,248,32,1,92,81,2,1,0,0,0,14,0,7.0
13:00:00,7059,7,5047,1594,3,225,33,1,87,47,0,1,0,0,0,14,0,5.6
14:00:00,8361,10,6079,1803,2,268,30,3,92,57,0,0,0,0,0,17,0,5.4
15:00:00,10195,8,7622,2079,10,263,22,0,118,43,0,0,3,1,0,26,0,4.4
16:00:00,10030,7,7821,1788,12,228,28,0,94,34,1,0,0,0,0,17,0,3.8
17:00:00,10409,15,8165,1847,15,229,8,1,77,40,1,1,1,0,0,9,0,3.4
18:00:00,8777,10,6661,1767,11,191,11,0,86,33,1,0,0,0,0,6,0,3.7
19:00:00,7349,4,5680,1371,9,167,10,0,70,36,0,0,0,0,0,2,0,3.9
20:00:00,5272,4,4261,811,2,81,6,1,50,51,0,1,1,0,0,3,0,3.6
21:00:00,4643,5,3809,649,3,71,12,0,39,48,0,2,3,0,0,2,0,3.8
22:00:00,3991,1,3306,536,1,51,5,0,30,55,2,2,0,0,0,2,0,3.6
23:00:00,3350,2,2783,440,1,34,9,0,22,50,1,4,0,0,0,4,0,3.6
