,Average Flow,F1,F2,F3,F4,F5,F6,F7,F8,F9,F10,F11,F12,F13,F14,F15,Invalid Reading,%Truck
00:00:00,2483,3,2143,305,1,19,1,0,8,3,0,0,0,0,0,0,0,1.2
01:00:00,1687,0,1440,213,0,16,2,0,2,9,0,0,0,0,0,5,0,1.7
02:00:00,1411,0,1239,144,1,9,5,0,2,11,0,0,0,0,0,0,0,1.9
03:00:00,1311,1,1101,182,2,14,2,0,2,6,0,0,0,0,0,1,0,1.8
04:00:00,1232,0,991,192,0,24,1,0,6,18,0,0,0,0,0,0,0,4.0
05:00:00,1542,2,1235,270,0,15,0,0,4,15,0,0,0,0,0,1,0,2.2
06:00:00,2405,2,1960,378,5,32,3,0,16,8,0,0,0,0,0,1,0,2.5
07:00:00,2677,0,2054,530,5,48,4,0,21,12,0,0,0,0,0,3,0,3.2
08:00:00,3649,6,2956,603,6,37,3,0,19,14,0,0,0,0,0,5,0,2.0
09:00:00,4578,10,3693,755,7,59,4,0,28,19,0,0,0,0,0,3,0,2.4
10:00:00,5524,8,4504,860,2,77,5,0,34,29,0,0,0,0,0,5,0,2.6
11:00:00,6336,4,5352,849,3,69,3,0,40,15,0,0,0,0,0,1,0,2.0
12:00:00,6325,13,5347,838,3,68,8,0,24,15,0,0,0,0,0,9,0,1.8
13:00:00,6441,20,5446,846,3,69,6,0,34,8,0,0,0,0,0,9,0,1.8
14:00:00,6437,14,5475,826,3,74,4,0,28,5,0,0,0,0,0,8,0,1.7
15:00:00,6230,6,5335,792,7,47,5,0,17,11,0,0,0,1,0,9,0,1.3
16:00:00,6133,13,5297,745,0,38,3,0,23,10,0,0,0,0,0,4,0,1.2
17:00:00,5701,5,4878,716,1,53,7,0,26,11,0,0,0,0,0,4,0,1.7
18:00:00,5541,3,4688,761,1,48,3,0,19,6,0,0,0,0,0,12,0,1.4
19:00:00,4645,3,3932,624,2,54,4,0,4,16,0,0,0,0,0,6,0,1.7
20:00:00,4563,2,3831,637,4,49,5,0,17,14,0,1,0,0,0,3,0,1.9
21:00:00,3528,7,2969,491,0,33,3,0,13,9,0,0,0,0,0,3,0,1.6
22:00:00,2919,4,2441,397,1,41,4,0,10,18,0,2,0,0,0,1,0,2.6
23:00:00,2037,0,1660,316,1,30,2,0,6,20,0,1,0,0,0,1,0,2.9
