,Average Flow,F1,F2,F3,F4,F5,F6,F7,F8,F9,F10,F11,F12,F13,F14,F15,Invalid Reading,%Truck
00:00:00,1947,3,1555,292,1,26,6,0,16,40,1,2,3,0,0,2,0,4.8
01:00:00,1311,1,1008,199,0,26,2,0,16,47,0,3,5,0,0,4,0,7.6
02:00:00,967,2,750,135,0,24,4,0,10,36,0,0,2,0,0,4,0,7.9
03:00:00,820,4,596,127,0,22,7,0,9,49,1,3,2,0,0,0,0,11.3
04:00:00,1052,1,732,187,0,34,10,0,19,63,0,1,1,0,0,4,0,12.2
05:00:00,2306,3,1583,507,1,105,11,1,29,59,1,0,1,0,0,5,0,9.0
06:00:00,4100,2,2981,825,12,145,28,0,47,52,1,1,0,0,0,6,0,6.7
07:00:00,4683,2,3664,773,12,137,24,3,36,28,0,0,0,0,0,4,0,4.9
08:00:00,5855,7,4514,1003,20,164,26,0,61,53,0,0,0,0,0,7,0,5.2
09:00:00,6089,0,4339,1283,19,254,36,1,76,73,1,0,0,0,0,7,0,7.2
10:00:00,5663,3,4014,1232,10,238,31,1,58,62,0,0,0,1,0,13,0,6.9
11:00:00,6406,7,4446,1436,5,279,33,0,82,95,2,0,0,0,0,21,0,7.7
12:00:00,6836,8,4912,1499,1,232,38,1,71,63,0,1,0,0,0,10,0,5.9
13:00:00,7627,3,5532,1644,4,244,38,0,71,71,2,1,0,0,0,17,0,5.6
14:00:00,8484,5,6279,1771,2,255,27,1,74,54,0,0,0,0,0,16,0,4.8
15:00:00,10154,10,7597,2110,10,249,21,1,107,37,0,0,0,0,0,12,0,4.1
16:00:00,10086,7,7811,1845,12,234,21,1,91,39,0,0,0,1,0,24,0,3.8
17:00:00,9860,6,7803,1748,18,182,7,0,54,31,1,0,0,0,0,10,0,2.8
18:00:00,8777,7,6625,1768,17,202,12,0,100,36,0,0,0,1,0,9,0,4.0
19:00:00,7119,3,5506,1307,5,143,10,0,81,50,0,0,0,0,0,14,0,4.0
20:00:00,5564,3,4473,879,5,84,12,1,50,53,1,0,2,0,0,1,0,3.6
21:00:00,4828,4,4020,660,1,57,9,1,18,53,0,4,1,0,0,0,0,3.0
22:00:00,4011,1,3331,541,1,50,6,0,29,49,0,2,0,0,0,1,0,3.4
23:00:00,2906,1,2391,393,1,41,9,0,22,45,0,0,2,0,0,1,0,4.1
