,Average Flow,F1,F2,F3,F4,F5,F6,F7,F8,F9,F10,F11,F12,F13,F14,F15,Invalid Reading,%Truck
00:00:00,3005,2,2489,434,1,28,5,0,16,24,0,2,2,0,0,2,0,2.6
01:00:00,2202,4,1782,332,2,28,4,0,12,36,0,1,1,0,0,0,0,3.7
02:00:00,1968,5,1640,239,1,25,11,0,7,36,0,0,2,0,0,2,0,4.1
03:00:00,1764,0,1393,285,1,26,3,0,15,36,0,0,1,0,0,4,0,4.6
04:00:00,1121,0,865,170,0,28,8,0,21,24,0,1,1,0,0,3,0,7.4
05:00:00,1360,1,994,279,1,28,6,0,18,30,0,0,2,0,0,1,0,6.2
06:00:00,2006,2,1477,395,0,57,17,0,24,28,1,1,0,0,0,4,0,6.4
07:00:00,2646,1,1974,506,0,88,11,1,28,34,2,0,0,0,0,1,0,6.2
08:00:00,3559,4,2712,693,6,72,12,0,30,24,0,0,0,0,0,6,0,3.9
09:00:00,4233,7,3299,768,4,83,6,1,32,25,2,0,0,0,0,6,0,3.5
10:00:00,4588,1,3604,853,0,73,11,0,21,21,1,0,0,1,0,2,0,2.8
11:00:00,5110,1,4004,955,4,72,8,0,38,22,1,0,0,0,0,5,0,2.8
12:00:00,5820,7,4658,997,2,107,6,0,25,11,0,0,0,0,0,7,0,2.6
13:00:00,6552,6,5250,1153,0,95,3,0,27,15,1,0,0,0,0,2,0,2.2
14:00:00,6811,6,5445,1173,2,110,3,0,53,13,0,0,0,0,0,6,0,2.6
15:00:00,6726,16,5419,1126,2,104,4,0,33,16,0,0,0,0,0,6,0,2.3
16:00:00,6379,10,5117,1142,2,70,6,1,22,8,0,0,0,0,0,1,0,1.7
17:00:00,6843,14,5573,1115,5,93,6,0,25,8,1,0,0,0,0,3,0,1.9
18:00:00,6367,15,5178,1061,2,64,3,1,32,9,0,0,0,0,0,2,0,1.7
19:00:00,5921,7,4809,997,2,57,4,0,30,11,0,1,0,0,0,3,0,1.7
20:00:00,5231,4,4269,859,3,51,0,1,25,17,0,0,0,0,0,2,0,1.8
21:00:00,4547,3,3805,670,1,34,3,0,20,10,0,0,0,0,0,1,0,1.5
22:00:00,4594,7,3864,665,1,42,1,0,5,7,0,0,0,0,0,2,0,1.2
23:00:00,4519,1,3816,638,2,33,5,0,13,10,0,0,0,0,0,1,0,1.3
