,Average Flow,F1,F2,F3,F4,F5,F6,F7,F8,F9,F10,F11,F12,F13,F14,F15,Invalid Reading,%Truck
00:00:00,130,0,113,13,0,4,0,0,0,0,0,0,0,0,0,0,0,3.1
01:00:00,92,0,86,4,0,1,0,0,1,0,0,0,0,0,0,0,0,2.2
02:00:00,72,0,62,9,0,1,0,0,0,0,0,0,0,0,0,0,0,1.4
03:00:00,55,0,45,8,0,1,0,0,0,1,0,0,0,0,0,0,0,3.6
04:00:00,33,0,25,5,0,1,0,0,1,1,0,0,0,0,0,0,0,9.1
05:00:00,53,0,43,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
06:00:00,178,0,161,13,1,3,0,0,0,0,0,0,0,0,0,0,0,1.7
07:00:00,251,1,219,27,2,2,0,0,0,0,0,0,0,0,0,0,0,0.8
08:00:00,365,3,307,45,0,7,0,0,3,0,0,0,0,0,0,0,0,2.7
09:00:00,495,1,417,62,1,8,2,0,2,1,0,0,0,0,0,1,0,2.6
10:00:00,559,1,504,43,0,7,0,0,3,1,0,0,0,0,0,0,0,2.0
11:00:00,690,0,610,69,1,9,0,0,1,0,0,0,0,0,0,0,0,1.4
12:00:00,777,1,691,73,3,7,0,0,2,0,0,0,0,0,0,0,0,1.2
13:00:00,795,2,716,69,0,7,0,0,1,0,0,0,0,0,0,0,0,1.0
14:00:00,873,2,765,95,0,6,1,0,2,2,0,0,0,0,0,0,0,1.3
15:00:00,838,1,753,72,2,6,0,0,3,1,0,0,0,0,0,0,0,1.2
16:00:00,906,2,838,51,1,8,1,0,4,1,0,0,0,0,0,0,0,1.5
17:00:00,813,0,739,66,0,7,0,0,1,0,0,0,0,0,0,0,0,1.0
18:00:00,765,1,709,50,0,4,0,0,1,0,0,0,0,0,0,0,0,0.7
19:00:00,632,0,574,47,0,8,0,0,3,0,0,0,0,0,0,0,0,1.7
20:00:00,469,1,428,36,0,2,0,0,1,1,0,0,0,0,0,0,0,0.9
21:00:00,387,2,351,27,1,5,0,0,0,1,0,0,0,0,0,0,0,1.6
22:00:00,327,0,312,14,0,1,0,0,0,0,0,0,0,0,0,0,0,0.3
23:00:00,269,0,255,13,0,1,0,0,0,0,0,0,0,0,0,0,0,0.4
