,Average Flow,F1,F2,F3,F4,F5,F6,F7,F8,F9,F10,F11,F12,F13,F14,F15,Invalid Reading,%Truck
00:00:00,96,0,86,6,0,4,0,0,0,0,0,0,0,0,0,0,0,4.2
01:00:00,55,0,48,5,0,0,0,0,1,1,0,0,0,0,0,0,0,3.6
02:00:00,49,0,44,2,0,1,1,0,0,1,0,0,0,0,0,0,0,6.1
03:00:00,36,0,29,4,0,2,0,0,0,1,0,0,0,0,0,0,0,8.3
04:00:00,35,0,30,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
05:00:00,125,0,99,21,0,2,1,0,1,1,0,0,0,0,0,0,0,4.0
06:00:00,440,1,376,52,1,8,1,0,0,1,0,0,0,0,0,0,0,2.3
07:00:00,638,2,545,76,1,11,1,0,1,1,0,0,0,0,0,0,0,2.2
08:00:00,655,1,521,94,5,15,1,0,8,5,0,0,0,0,0,5,0,4.4
09:00:00,635,2,536,79,2,10,1,0,5,0,0,0,0,0,0,0,0,2.5
10:00:00,708,2,589,96,0,11,4,0,5,0,0,0,0,0,0,1,0,2.8
11:00:00,743,1,613,102,0,20,3,0,4,0,0,0,0,0,0,0,0,3.6
12:00:00,878,1,761,97,0,11,2,0,4,2,0,0,0,0,0,0,0,2.2
13:00:00,971,1,842,105,0,16,1,0,5,1,0,0,0,0,0,0,0,2.4
14:00:00,998,3,867,108,0,15,0,0,5,0,0,0,0,0,0,0,0,2.0
15:00:00,1028,1,894,112,1,11,0,0,8,0,0,0,0,0,0,1,0,1.8
16:00:00,1134,4,992,108,1,15,1,0,7,1,0,0,0,1,0,4,0,2.2
17:00:00,1139,1,1009,110,1,11,1,0,6,0,0,0,0,0,0,0,0,1.6
18:00:00,1064,1,956,92,2,9,0,0,3,1,0,0,0,0,0,0,0,1.2
19:00:00,706,2,641,53,0,8,0,0,1,1,0,0,0,0,0,0,0,1.4
20:00:00,521,0,463,53,0,3,0,0,0,2,0,0,0,0,0,0,0,1.0
21:00:00,367,1,330,30,1,4,0,0,1,0,0,0,0,0,0,0,0,1.4
22:00:00,364,0,329,28,1,4,0,0,0,1,0,0,0,0,0,1,0,1.4
23:00:00,208,0,191,12,1,3,0,0,0,1,0,0,0,0,0,0,0,1.9
