,Average Flow,F1,F2,F3,F4,F5,F6,F7,F8,F9,F10,F11,F12,F13,F14,F15,Invalid Reading,%Truck
00:00:00,74,0,63,9,1,1,0,0,0,0,0,0,0,0,0,0,0,1.4
01:00:00,39,0,37,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
02:00:00,27,0,23,3,0,0,1,0,0,0,0,0,0,0,0,0,0,3.7
03:00:00,40,0,35,3,0,2,0,0,0,0,0,0,0,0,0,0,0,5.0
04:00:00,60,0,45,9,0,1,3,0,1,1,0,0,0,0,0,0,0,10.0
05:00:00,189,0,150,33,1,3,1,0,0,1,0,0,0,0,0,0,0,2.6
06:00:00,454,0,386,60,1,3,4,0,0,0,0,0,0,0,0,0,0,1.5
07:00:00,1036,0,886,126,1,10,4,0,6,3,0,0,0,0,0,0,0,2.2
08:00:00,1157,2,974,144,0,20,2,0,11,2,0,0,0,0,0,2,0,3.0
09:00:00,1049,0,875,144,0,16,2,0,10,2,0,0,0,0,0,0,0,2.9
10:00:00,803,0,652,127,0,16,4,0,2,2,0,0,0,0,0,0,0,3.0
11:00:00,839,0,697,111,0,18,1,0,11,0,0,0,0,0,0,1,0,3.6
12:00:00,807,1,675,110,1,13,0,0,7,0,0,0,0,0,0,0,0,2.5
13:00:00,835,1,711,98,0,16,2,0,7,0,0,0,0,0,0,0,0,3.0
14:00:00,911,1,761,129,2,14,1,0,3,0,0,0,0,0,0,0,0,2.0
15:00:00,892,0,765,102,0,16,0,0,9,0,0,0,0,0,0,0,0,2.8
16:00:00,878,1,754,108,1,7,0,0,4,2,0,0,0,0,0,1,0,1.5
17:00:00,919,0,808,97,0,12,0,0,2,0,0,0,0,0,0,0,0,1.5
18:00:00,734,2,649,70,1,10,0,0,1,1,0,0,0,0,0,0,0,1.6
19:00:00,669,0,599,57,1,7,0,0,4,1,0,0,0,0,0,0,0,1.8
20:00:00,551,1,507,39,0,3,1,0,0,0,0,0,0,0,0,0,0,0.7
21:00:00,425,3,386,34,0,0,0,0,2,0,0,0,0,0,0,0,0,0.5
22:00:00,272,1,246,24,0,1,0,0,0,0,0,0,0,0,0,0,0,0.4
23:00:00,168,1,150,15,0,2,0,0,0,0,0,0,0,0,0,0,0,1.2
