,Average Flow,F1,F2,F3,F4,F5,F6,F7,F8,F9,F10,F11,F12,F13,F14,F15,Invalid Reading,%Truck
00:00:00,34,0,23,6,0,0,0,0,3,2,0,0,0,0,0,0,0,14.7
01:00:00,5,0,1,0,0,1,0,0,1,2,0,0,0,0,0,0,0,80.0
02:00:00,10,2,5,0,0,0,0,0,1,1,0,0,0,0,0,1,0,20.0
03:00:00,10,0,6,0,0,2,0,0,2,0,0,0,0,0,0,0,0,40.0
04:00:00,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,100.0
05:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
06:00:00,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,100.0
07:00:00,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.0
08:00:00,522,0,440,69,0,7,2,0,2,1,0,0,0,0,0,1,0,2.3
09:00:00,625,2,503,104,0,10,2,0,4,0,0,0,0,0,0,0,0,2.6
10:00:00,697,0,560,107,0,23,3,0,4,0,0,0,0,0,0,0,0,4.3
11:00:00,763,1,561,175,2,16,3,0,3,2,0,0,0,0,0,0,0,3.1
12:00:00,908,1,750,123,0,21,5,0,7,0,1,0,0,0,0,0,0,3.7
13:00:00,935,1,766,130,1,24,3,0,8,0,0,0,0,0,0,2,0,3.7
14:00:00,868,0,650,177,2,25,6,0,7,1,0,0,0,0,0,0,0,4.5
15:00:00,868,0,637,199,1,18,1,0,9,3,0,0,0,0,0,0,0,3.6
16:00:00,1030,0,835,179,2,9,1,0,4,0,0,0,0,0,0,0,0,1.4
17:00:00,898,0,711,165,2,16,0,0,4,0,0,0,0,0,0,0,0,2.2
18:00:00,783,1,651,110,2,16,0,0,2,1,0,0,0,0,0,0,0,2.4
19:00:00,608,0,541,61,0,5,1,0,0,0,0,0,0,0,0,0,0,1.0
20:00:00,381,1,338,37,1,2,1,0,1,0,0,0,0,0,0,0,0,1.0
21:00:00,266,0,239,24,0,2,1,0,0,0,0,0,0,0,0,0,0,1.1
22:00:00,174,1,155,16,0,1,1,0,0,0,0,0,0,0,0,0,0,1.1
23:00:00,95,0,84,9,0,2,0,0,0,0,0,0,0,0,0,0,0,2.1
