,Average Flow,F1,F2,F3,F4,F5,F6,F7,F8,F9,F10,F11,F12,F13,F14,F15,Invalid Reading,%Truck
00:00:00,58,0,53,2,2,1,0,0,0,0,0,0,0,0,0,0,0,1.7
01:00:00,35,0,32,2,0,1,0,0,0,0,0,0,0,0,0,0,0,2.9
02:00:00,26,0,23,2,0,0,0,0,0,1,0,0,0,0,0,0,0,3.8
03:00:00,33,0,31,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
04:00:00,39,0,28,8,0,1,1,0,1,0,0,0,0,0,0,0,0,7.7
05:00:00,156,0,126,29,0,1,0,0,0,0,0,0,0,0,0,0,0,0.6
06:00:00,544,1,451,75,0,13,2,0,1,0,0,0,0,0,0,1,0,2.9
07:00:00,854,1,754,80,1,12,2,0,4,0,0,0,0,0,0,0,0,2.1
08:00:00,940,0,805,112,2,11,2,0,8,0,0,0,0,0,0,0,0,2.2
09:00:00,836,0,699,110,0,20,2,0,2,3,0,0,0,0,0,0,0,3.2
10:00:00,750,0,618,106,0,20,2,0,3,0,1,0,0,0,0,0,0,3.5
11:00:00,816,1,693,94,0,21,3,0,4,0,0,0,0,0,0,0,0,3.4
12:00:00,1037,1,849,151,0,23,3,0,9,1,0,0,0,0,0,0,0,3.5
13:00:00,982,0,817,142,1,13,4,0,4,0,0,0,0,0,0,1,0,2.1
14:00:00,1068,1,916,124,0,13,1,0,7,2,0,0,0,1,0,3,0,2.2
15:00:00,1143,1,935,142,0,21,3,0,17,11,0,0,0,1,0,12,0,4.6
16:00:00,1162,2,995,113,6,13,2,0,11,11,0,0,0,0,0,9,0,3.2
17:00:00,943,2,763,104,8,11,0,0,11,24,0,1,0,3,0,16,0,5.3
18:00:00,1113,6,911,127,4,7,1,0,22,14,0,0,0,6,0,15,0,4.5
19:00:00,959,1,856,89,1,10,0,0,1,1,0,0,0,0,0,0,0,1.3
20:00:00,548,1,506,36,1,3,0,0,1,0,0,0,0,0,0,0,0,0.7
21:00:00,322,2,305,12,1,2,0,0,0,0,0,0,0,0,0,0,0,0.6
22:00:00,196,0,181,12,0,3,0,0,0,0,0,0,0,0,0,0,0,1.5
23:00:00,125,1,111,9,0,3,0,0,0,1,0,0,0,0,0,0,0,3.2
